Origin,FlightDate,Region
TPA,12,SouthAtlantic
ATL,14,SouthAtlantic
ORF,23,SouthAtlantic
TPA,13,SouthAtlantic
ATL,26,SouthAtlantic
CHS,2,SouthAtlantic
GSP,17,SouthAtlantic
DCA,14,SouthAtlantic
DCA,1,SouthAtlantic
ORF,30,SouthAtlantic
MCO,31,SouthAtlantic
SAV,7,SouthAtlantic
PNS,26,SouthAtlantic
RSW,24,SouthAtlantic
MIA,29,SouthAtlantic
JAX,1,SouthAtlantic
ORF,10,SouthAtlantic
ORF,2,SouthAtlantic
TPA,3,SouthAtlantic
FLL,9,SouthAtlantic
PNS,27,SouthAtlantic
GSO,4,SouthAtlantic
JAX,5,SouthAtlantic
RSW,7,SouthAtlantic
RSW,18,SouthAtlantic
CHS,26,SouthAtlantic
