Origin,FlightDate,Region
PWM,2017-01-24,NewEngland
SAV,2017-01-19,SouthAtlantic
SEA,2017-01-05,Pacific
CVG,2017-01-29,EastNorthCentral
DAL,2017-01-15,WestSouthCentral
SDF,2017-01-21,EastSouthCentral
CLE,2017-01-05,EastNorthCentral
TYS,2017-01-18,EastSouthCentral
GSP,2017-01-28,SouthAtlantic
JAX,2017-01-11,SouthAtlantic
BDL,2017-01-18,NewEngland
CLE,2017-01-23,EastNorthCentral
HNL,2017-01-23,Pacific
BWI,2017-01-16,SouthAtlantic
HOU,2017-01-01,WestSouthCentral
JFK,2017-01-18,MiddleAtlantic
PDX,2017-01-01,Pacific
SAN,2017-01-14,Pacific
HNL,2017-01-18,Pacific
ICT,2017-01-04,WestNorthCentral
BHM,2017-01-03,MiddleAtlantic
PHL,2017-01-28,MiddleAtlantic
SAN,2017-01-30,Pacific
SYR,2017-01-09,MiddleAtlantic
LIH,2017-01-26,Pacific
BOI,2017-01-09,Mountain
BOS,2017-01-20,NewEngland
COS,2017-01-22,Mountain
SAV,2017-01-16,SouthAtlantic
JAX,2017-01-31,SouthAtlantic
MCI,2017-01-28,WestNorthCentral
COS,2017-01-30,Mountain
DTW,2017-01-06,EastNorthCentral
MDW,2017-01-18,EastNorthCentral
PVD,2017-01-27,NewEngland
JAX,2017-01-01,SouthAtlantic
MSP,2017-01-07,WestNorthCentral
JAX,2017-01-19,SouthAtlantic
COS,2017-01-03,Mountain
ROC,2017-01-20,MiddleAtlantic
RDU,2017-01-23,SouthAtlantic
HNL,2017-01-07,Pacific
ELP,2017-01-27,WestSouthCentral
GEG,2017-01-05,Pacific
LGA,2017-01-09,MiddleAtlantic
BOI,2017-01-14,Mountain
RNO,2017-01-21,Mountain
TUS,2017-01-27,Mountain
ICT,2017-01-05,WestNorthCentral
TPA,2017-01-27,SouthAtlantic
LAS,2017-01-16,Mountain
CMH,2017-01-31,EastNorthCentral
ORD,2017-01-14,EastNorthCentral
CLE,2017-01-18,EastNorthCentral
